Date,Model,Category,Region,City,Units Sold,Revenue
2023-01-03,Tiago,Hatchback,North,Delhi,2,1174388
2023-01-03,Tigor,Sedan,West,Ahmedabad,4,2848260
2023-01-03,Tigor,Sedan,West,Mumbai,2,1597382
2023-01-03,Tiago,Hatchback,West,Pune,3,2215665
2023-01-03,Safari,7-Seater SUV,West,Pune,5,12853115
2023-01-03,Nexon,SUV,South,Chennai,3,3084825
2023-01-03,Tiago,Hatchback,North,Lucknow,5,2659795
2023-01-03,Curvv EV,Electric Coupe SUV,South,Hyderabad,1,1726289
2023-01-03,Punch EV,Electric Compact SUV,West,Ahmedabad,5,6392315
2023-01-03,Nexon,SUV,West,Mumbai,5,4420010
2023-01-03,Nexon,SUV,North,Delhi,5,4356310
2023-01-03,Curvv,Coupe SUV,South,Chennai,4,4502840
2023-01-03,Punch EV,Electric Compact SUV,South,Chennai,5,6558495
2023-01-03,Tiago,Hatchback,North,Lucknow,1,719794
2023-01-03,Curvv,Coupe SUV,North,Lucknow,5,7740885
2023-01-03,Altroz,Premium Hatchback,East,Kolkata,2,2002258
2023-01-03,Curvv EV,Electric Coupe SUV,South,Hyderabad,2,3678516
2023-01-03,Tigor,Sedan,South,Bangalore,3,2519151
2023-01-03,Altroz,Premium Hatchback,North,Delhi,1,890273
2023-01-03,Punch EV,Electric Compact SUV,North,Lucknow,1,1038409
2023-01-03,Nexon EV,Electric SUV,South,Chennai,5,6695205
2023-01-03,Nexon,SUV,South,Hyderabad,1,1056150
2023-01-03,Altroz,Premium Hatchback,East,Kolkata,2,1759468
2023-01-03,Nexon EV,Electric SUV,Central,Indore,3,4562085
2023-01-03,Curvv,Coupe SUV,North,Jaipur,1,1700305
2023-01-03,Nexon EV,Electric SUV,East,Kolkata,1,1692269
2023-01-03,Nexon,SUV,East,Kolkata,1,912235
2023-01-03,Curvv EV,Electric Coupe SUV,North,Jaipur,2,3685576
2023-01-03,Safari,7-Seater SUV,North,Lucknow,2,4538144
2023-01-03,Harrier,Premium SUV,South,Kochi,3,6089877
2023-01-03,Tiago EV,Electric Hatchback,East,Kolkata,1,848390
2023-01-03,Curvv,Coupe SUV,West,Pune,3,3138684
2023-01-03,Tiago,Hatchback,South,Hyderabad,2,1668060
2023-01-03,Safari,7-Seater SUV,South,Bangalore,4,9787696
2023-01-03,Nexon EV,Electric SUV,West,Mumbai,1,1239449
2023-01-03,Curvv EV,Electric Coupe SUV,South,Bangalore,5,8594445
2023-01-03,Altroz,Premium Hatchback,North,Lucknow,5,3638215
2023-01-03,Tigor,Sedan,South,Bangalore,1,761616
2023-01-03,Altroz,Premium Hatchback,West,Mumbai,3,2280420
2023-01-03,Curvv,Coupe SUV,South,Chennai,1,1370858
2023-01-03,Nexon EV,Electric SUV,West,Pune,5,7964710
2023-01-03,Nexon,SUV,South,Chennai,2,1971304
2023-01-03,Tigor,Sedan,West,Mumbai,2,1548320
2023-01-03,Tigor,Sedan,South,Kochi,2,1479766
2023-01-04,Curvv EV,Electric Coupe SUV,North,Delhi,4,8629064
2023-01-04,Tiago,Hatchback,West,Ahmedabad,2,1209266
2023-01-04,Tiago EV,Electric Hatchback,South,Hyderabad,3,2757975
2023-01-04,Harrier,Premium SUV,West,Mumbai,2,3835642
2023-01-04,Altroz,Premium Hatchback,East,Kolkata,1,1055445
2023-01-04,Safari,7-Seater SUV,South,Hyderabad,5,11940930
2023-01-04,Curvv,Coupe SUV,North,Jaipur,3,3086823
2023-01-04,Punch,Compact SUV,East,Kolkata,2,1808792
2023-01-04,Safari,7-Seater SUV,West,Mumbai,1,2461346
2023-01-04,Altroz,Premium Hatchback,Central,Indore,3,2636388
2023-01-04,Punch EV,Electric Compact SUV,North,Jaipur,1,1201953
2023-01-04,Punch EV,Electric Compact SUV,South,Chennai,3,3069813
2023-01-04,Curvv EV,Electric Coupe SUV,West,Pune,1,1972587
2023-01-04,Nexon EV,Electric SUV,South,Kochi,2,2781912
2023-01-04,Tigor,Sedan,North,Delhi,3,2780136
2023-01-04,Altroz,Premium Hatchback,South,Kochi,1,1027358
2023-01-04,Safari,7-Seater SUV,North,Jaipur,3,7219386
2023-01-04,Altroz,Premium Hatchback,West,Pune,3,2822013
2023-01-04,Nexon,SUV,South,Chennai,4,5988916
2023-01-04,Tigor,Sedan,South,Kochi,2,1845414
2023-01-05,Safari,7-Seater SUV,West,Pune,5,7754255
2023-01-05,Safari,7-Seater SUV,East,Kolkata,2,4903080
2023-01-05,Punch EV,Electric Compact SUV,North,Lucknow,3,3731361
2023-01-05,Tiago EV,Electric Hatchback,West,Ahmedabad,2,2136004
2023-01-05,Tiago EV,Electric Hatchback,Central,Indore,2,1688914
2023-01-05,Safari,7-Seater SUV,North,Jaipur,5,11264700
2023-01-05,Punch,Compact SUV,South,Chennai,3,2153328
2023-01-05,Harrier,Premium SUV,South,Bangalore,1,1548458
2023-01-05,Harrier,Premium SUV,West,Ahmedabad,5,11955070
2023-01-05,Punch,Compact SUV,West,Ahmedabad,4,3720712
2023-01-05,Punch EV,Electric Compact SUV,South,Chennai,4,5036784
2023-01-05,Tigor,Sedan,South,Chennai,2,1887926
2023-01-05,Curvv EV,Electric Coupe SUV,West,Mumbai,1,2108116
2023-01-05,Tigor,Sedan,South,Chennai,2,1743118
2023-01-05,Tiago EV,Electric Hatchback,West,Mumbai,5,4653255
2023-01-05,Punch,Compact SUV,West,Ahmedabad,2,1687212
2023-01-05,Curvv,Coupe SUV,North,Jaipur,5,8121885
2023-01-05,Altroz,Premium Hatchback,West,Ahmedabad,5,5386490
2023-01-05,Curvv EV,Electric Coupe SUV,North,Jaipur,4,8541828
2023-01-05,Nexon EV,Electric SUV,West,Ahmedabad,2,3179778
2023-01-05,Tiago EV,Electric Hatchback,West,Ahmedabad,3,2788872
2023-01-05,Curvv,Coupe SUV,East,Kolkata,5,7540680
2023-01-05,Curvv,Coupe SUV,South,Chennai,3,4383717
2023-01-05,Punch,Compact SUV,Central,Indore,3,2168826
2023-01-05,Safari,7-Seater SUV,South,Hyderabad,3,8048343
2023-01-05,Punch,Compact SUV,South,Bangalore,2,1442494
2023-01-05,Tigor,Sedan,Central,Indore,2,1424344
2023-01-05,Punch,Compact SUV,West,Pune,4,3093908
2023-01-05,Nexon EV,Electric SUV,West,Ahmedabad,4,4930580
2023-01-05,Harrier,Premium SUV,West,Pune,4,9795164
2023-01-05,Punch EV,Electric Compact SUV,Central,Indore,1,1301827
2023-01-05,Tigor,Sedan,West,Ahmedabad,1,784422
2023-01-05,Safari,7-Seater SUV,West,Pune,4,10714920
2023-01-05,Curvv EV,Electric Coupe SUV,Central,Indore,5,10596805
2023-01-05,Punch EV,Electric Compact SUV,South,Chennai,4,4460160
2023-01-05,Safari,7-Seater SUV,West,Pune,4,6443476
2023-01-05,Tigor,Sedan,South,Hyderabad,4,2746120
2023-01-05,Tiago EV,Electric Hatchback,South,Bangalore,5,5400170
2023-01-05,Tiago,Hatchback,West,Pune,5,3979515
2023-01-05,Curvv,Coupe SUV,West,Mumbai,1,1673971
2023-01-05,Tigor,Sedan,South,Bangalore,4,2781112
2023-01-05,Tiago,Hatchback,East,Kolkata,4,2686508
2023-01-05,Harrier,Premium SUV,West,Ahmedabad,3,5561682
2023-01-05,Tigor,Sedan,East,Kolkata,4,2929048
2023-01-05,Punch,Compact SUV,West,Ahmedabad,1,992704
2023-01-05,Nexon EV,Electric SUV,West,Mumbai,3,3952668
2023-01-06,Curvv,Coupe SUV,West,Mumbai,1,1259295
2023-01-06,Harrier,Premium SUV,West,Mumbai,5,8298920
2023-01-06,Harrier,Premium SUV,South,Bangalore,4,8807912
2023-01-06,Punch,Compact SUV,North,Lucknow,2,1687622
2023-01-06,Curvv EV,Electric Coupe SUV,East,Kolkata,3,5363907
2023-01-06,Punch EV,Electric Compact SUV,North,Lucknow,1,1085860
2023-01-06,Safari,7-Seater SUV,North,Delhi,5,8019255
2023-01-06,Safari,7-Seater SUV,North,Lucknow,4,9527376
2023-01-06,Curvv EV,Electric Coupe SUV,South,Chennai,1,2010429
2023-01-06,Curvv EV,Electric Coupe SUV,South,Kochi,2,3506850
2023-01-06,Curvv EV,Electric Coupe SUV,East,Kolkata,5,10611640
2023-01-06,Punch,Compact SUV,North,Lucknow,1,782034
2023-01-06,Nexon EV,Electric SUV,West,Pune,3,3708459
2023-01-06,Nexon EV,Electric SUV,South,Kochi,3,3619899
2023-01-07,Tiago EV,Electric Hatchback,North,Delhi,4,3959560
2023-01-07,Curvv,Coupe SUV,West,Ahmedabad,2,2913282
2023-01-07,Nexon,SUV,Central,Indore,5,7410270
2023-01-07,Safari,7-Seater SUV,North,Lucknow,5,12819835
2023-01-07,Tiago EV,Electric Hatchback,West,Pune,5,4703580
2023-01-07,Altroz,Premium Hatchback,South,Chennai,1,796238
2023-01-07,Tiago EV,Electric Hatchback,South,Chennai,4,4395060
2023-01-07,Punch EV,Electric Compact SUV,South,Kochi,4,4705472
2023-01-07,Tiago,Hatchback,West,Ahmedabad,3,1786008
2023-01-07,Tiago EV,Electric Hatchback,South,Chennai,3,2806353
2023-01-07,Altroz,Premium Hatchback,East,Kolkata,5,5088110
2023-01-07,Safari,7-Seater SUV,North,Jaipur,1,2633445
2023-01-07,Harrier,Premium SUV,North,Delhi,2,4510106
2023-01-07,Tigor,Sedan,West,Ahmedabad,5,3629990
2023-01-07,Curvv EV,Electric Coupe SUV,West,Ahmedabad,4,7739888
2023-01-07,Tiago,Hatchback,North,Delhi,3,1848540
2023-01-07,Tigor,Sedan,Central,Indore,2,1521080
2023-01-07,Curvv,Coupe SUV,North,Lucknow,3,4488747
2023-01-07,Nexon EV,Electric SUV,North,Jaipur,3,4269258
2023-01-07,Curvv EV,Electric Coupe SUV,North,Jaipur,3,5653350
2023-01-07,Curvv EV,Electric Coupe SUV,West,Ahmedabad,3,5582274
2023-01-07,Safari,7-Seater SUV,South,Chennai,1,1953878
2023-01-07,Altroz,Premium Hatchback,North,Delhi,5,5248030
2023-01-07,Curvv EV,Electric Coupe SUV,South,Bangalore,2,3626894
2023-01-07,Curvv EV,Electric Coupe SUV,West,Ahmedabad,3,6239673
2023-01-07,Punch EV,Electric Compact SUV,North,Jaipur,5,5741860
2023-01-07,Punch,Compact SUV,South,Chennai,3,2157798
2023-01-07,Altroz,Premium Hatchback,South,Bangalore,3,1972251
2023-01-07,Curvv EV,Electric Coupe SUV,North,Jaipur,2,3687636
2023-01-07,Tiago,Hatchback,West,Mumbai,5,3265815
2023-01-07,Curvv EV,Electric Coupe SUV,South,Bangalore,4,7015140
2023-01-07,Tiago,Hatchback,North,Lucknow,3,2238297
2023-01-07,Tiago EV,Electric Hatchback,West,Ahmedabad,3,2689977
2023-01-07,Tiago,Hatchback,East,Kolkata,4,2239256
2023-01-07,Punch,Compact SUV,West,Pune,4,2555360
2023-01-07,Punch EV,Electric Compact SUV,South,Kochi,1,1079548
2023-01-08,Punch EV,Electric Compact SUV,East,Kolkata,1,1130123
2023-01-08,Punch,Compact SUV,North,Jaipur,4,3671540
2023-01-08,Punch EV,Electric Compact SUV,North,Lucknow,2,2547956
2023-01-08,Tigor,Sedan,West,Ahmedabad,4,3023592
2023-01-08,Punch EV,Electric Compact SUV,West,Pune,3,3894375
2023-01-08,Punch EV,Electric Compact SUV,West,Mumbai,5,6940095
2023-01-08,Punch,Compact SUV,South,Chennai,2,1477500
2023-01-08,Curvv,Coupe SUV,North,Delhi,2,2503032
2023-01-08,Nexon,SUV,North,Jaipur,1,964136
2023-01-08,Tiago,Hatchback,West,Pune,4,3245312
2023-01-08,Tiago EV,Electric Hatchback,East,Kolkata,1,921360
2023-01-08,Safari,7-Seater SUV,Central,Indore,3,7506516
2023-01-08,Punch,Compact SUV,South,Kochi,2,1477404
2023-01-08,Curvv,Coupe SUV,North,Lucknow,2,2891580
2023-01-08,Punch,Compact SUV,North,Jaipur,2,1879094
2023-01-08,Nexon,SUV,East,Kolkata,2,1749756
2023-01-08,Tiago,Hatchback,South,Bangalore,3,2435922
2023-01-08,Curvv EV,Electric Coupe SUV,North,Lucknow,3,5790726
2023-01-08,Punch,Compact SUV,West,Ahmedabad,3,2900583
2023-01-09,Safari,7-Seater SUV,North,Jaipur,5,12927815
2023-01-09,Tiago EV,Electric Hatchback,North,Delhi,5,4104490
2023-01-09,Tigor,Sedan,Central,Indore,3,2749557
2023-01-09,Safari,7-Seater SUV,West,Mumbai,1,2030089
2023-01-09,Curvv,Coupe SUV,North,Lucknow,5,5108765
2023-01-09,Curvv,Coupe SUV,East,Kolkata,5,5210925
2023-01-09,Nexon,SUV,West,Ahmedabad,5,7415785
2023-01-09,Tiago EV,Electric Hatchback,East,Kolkata,2,2057058
2023-01-09,Curvv,Coupe SUV,West,Ahmedabad,1,1492841
2023-01-09,Altroz,Premium Hatchback,West,Pune,3,2454978
2023-01-09,Curvv,Coupe SUV,North,Delhi,2,2691648
2023-01-09,Tigor,Sedan,Central,Indore,4,3004436
2023-01-09,Curvv,Coupe SUV,West,Pune,5,5192395
2023-01-09,Tiago EV,Electric Hatchback,North,Delhi,3,2796987
2023-01-09,Altroz,Premium Hatchback,North,Delhi,4,3679184
2023-01-09,Tiago,Hatchback,South,Kochi,5,3711040
2023-01-09,Tigor,Sedan,West,Mumbai,2,1743622
2023-01-09,Altroz,Premium Hatchback,North,Lucknow,4,3911576
2023-01-09,Tiago EV,Electric Hatchback,West,Mumbai,2,1880028
2023-01-09,Nexon EV,Electric SUV,South,Bangalore,3,4289097
2023-01-09,Curvv EV,Electric Coupe SUV,West,Ahmedabad,1,1715135
2023-01-09,Curvv,Coupe SUV,North,Lucknow,2,3488522
2023-01-09,Nexon,SUV,East,Kolkata,5,4071690
2023-01-09,Nexon EV,Electric SUV,West,Pune,1,1317807
2023-01-09,Punch,Compact SUV,West,Ahmedabad,1,939586
2023-01-09,Nexon,SUV,West,Ahmedabad,3,4000770
2023-01-09,Curvv EV,Electric Coupe SUV,East,Kolkata,4,8550540
2023-01-09,Tiago EV,Electric Hatchback,West,Ahmedabad,2,2078974
2023-01-09,Nexon EV,Electric SUV,South,Bangalore,4,5199736
2023-01-09,Punch EV,Electric Compact SUV,North,Jaipur,2,2073200
2023-01-09,Safari,7-Seater SUV,West,Pune,3,7844409
2023-01-09,Safari,7-Seater SUV,West,Mumbai,3,6528348
2023-01-09,Punch EV,Electric Compact SUV,North,Lucknow,4,4311624
2023-01-09,Tiago EV,Electric Hatchback,North,Jaipur,4,3923776
2023-01-09,Altroz,Premium Hatchback,North,Jaipur,5,4238830
2023-01-10,Altroz,Premium Hatchback,South,Chennai,2,1899572
2023-01-10,Tigor,Sedan,South,Chennai,4,2491532
2023-01-10,Altroz,Premium Hatchback,Central,Indore,4,4078968
2023-01-10,Tigor,Sedan,West,Pune,2,1719388
2023-01-10,Tiago,Hatchback,South,Bangalore,5,4047120
2023-01-10,Altroz,Premium Hatchback,North,Delhi,4,2809108
2023-01-10,Nexon EV,Electric SUV,West,Ahmedabad,1,1578768
2023-01-10,Nexon,SUV,West,Pune,2,1756926
2023-01-10,Tiago EV,Electric Hatchback,East,Kolkata,3,3025185
2023-01-10,Curvv,Coupe SUV,North,Delhi,3,5681232
2023-01-10,Curvv,Coupe SUV,North,Jaipur,4,5328172
2023-01-10,Curvv,Coupe SUV,Central,Indore,4,6269184
2023-01-10,Tiago,Hatchback,North,Lucknow,1,623087
2023-01-10,Curvv,Coupe SUV,South,Kochi,3,3715608
2023-01-10,Curvv EV,Electric Coupe SUV,North,Delhi,4,7006448
2023-01-10,Curvv,Coupe SUV,Central,Indore,1,1465230
2023-01-10,Nexon,SUV,Central,Indore,3,2491059
2023-01-10,Tiago,Hatchback,South,Hyderabad,1,653809
2023-01-10,Altroz,Premium Hatchback,South,Hyderabad,4,2905280
2023-01-10,Harrier,Premium SUV,North,Jaipur,4,8373672
2023-01-10,Curvv,Coupe SUV,South,Bangalore,2,2367146
2023-01-10,Punch,Compact SUV,North,Lucknow,4,3699624
2023-01-10,Curvv,Coupe SUV,South,Chennai,4,6445936
2023-01-10,Nexon,SUV,South,Chennai,4,5875564
2023-01-10,Safari,7-Seater SUV,West,Ahmedabad,3,4709121
2023-01-10,Tiago EV,Electric Hatchback,East,Kolkata,5,4414120
2023-01-10,Punch,Compact SUV,West,Ahmedabad,3,2724168
2023-01-10,Safari,7-Seater SUV,South,Kochi,4,8297972
2023-01-10,Tiago EV,Electric Hatchback,East,Kolkata,2,2003380
2023-01-10,Tiago EV,Electric Hatchback,North,Delhi,2,1999888
2023-01-10,Punch EV,Electric Compact SUV,South,Hyderabad,5,5775610
2023-01-10,Curvv EV,Electric Coupe SUV,East,Kolkata,1,2135178
2023-01-10,Curvv,Coupe SUV,West,Pune,3,3025473
2023-01-10,Punch EV,Electric Compact SUV,South,Kochi,1,1317931
2023-01-10,Curvv EV,Electric Coupe SUV,West,Ahmedabad,3,6320133
2023-01-10,Harrier,Premium SUV,North,Lucknow,3,5188926
2023-01-10,Curvv,Coupe SUV,South,Chennai,5,6314005
2023-01-10,Curvv,Coupe SUV,Central,Indore,2,3317530
2023-01-10,Punch,Compact SUV,South,Kochi,1,761969
2023-01-11,Tiago,Hatchback,North,Lucknow,3,1706691
2023-01-11,Punch,Compact SUV,East,Kolkata,3,2975685
2023-01-11,Tigor,Sedan,South,Bangalore,2,1338578
2023-01-11,Nexon EV,Electric SUV,South,Hyderabad,5,7315420
2023-01-11,Safari,7-Seater SUV,South,Bangalore,3,7681524
2023-01-11,Safari,7-Seater SUV,Central,Indore,3,5374584
2023-01-11,Tiago EV,Electric Hatchback,North,Delhi,2,1836574
2023-01-11,Curvv,Coupe SUV,Central,Indore,4,7547308
2023-01-11,Nexon EV,Electric SUV,South,Hyderabad,1,1614545
2023-01-11,Tigor,Sedan,West,Mumbai,3,2643954
2023-01-11,Punch,Compact SUV,West,Ahmedabad,3,2858265
2023-01-11,Curvv EV,Electric Coupe SUV,South,Kochi,3,6019431
2023-01-11,Tigor,Sedan,South,Kochi,3,1970412
2023-01-11,Curvv,Coupe SUV,South,Chennai,4,4104960
2023-01-11,Punch EV,Electric Compact SUV,North,Jaipur,3,3959574
2023-01-11,Harrier,Premium SUV,South,Kochi,1,2166269
2023-01-11,Tiago EV,Electric Hatchback,Central,Indore,3,3042192
2023-01-11,Punch,Compact SUV,South,Bangalore,1,619509
2023-01-11,Safari,7-Seater SUV,West,Ahmedabad,1,1753826
2023-01-11,Harrier,Premium SUV,North,Jaipur,2,3815048
2023-01-11,Tiago EV,Electric Hatchback,South,Hyderabad,5,5098715
2023-01-11,Punch EV,Electric Compact SUV,Central,Indore,2,2435036
2023-01-11,Curvv,Coupe SUV,North,Delhi,4,6582232
2023-01-11,Tigor,Sedan,East,Kolkata,1,794264
2023-01-11,Harrier,Premium SUV,West,Ahmedabad,4,9986916
2023-01-11,Harrier,Premium SUV,South,Hyderabad,1,2218987
2023-01-11,Altroz,Premium Hatchback,North,Jaipur,3,2045235
2023-01-11,Tigor,Sedan,East,Kolkata,2,1328092
2023-01-11,Tiago EV,Electric Hatchback,North,Delhi,2,1622394
2023-01-11,Tiago,Hatchback,South,Hyderabad,2,1132040
2023-01-11,Punch EV,Electric Compact SUV,South,Chennai,1,1290564
2023-01-11,Harrier,Premium SUV,North,Lucknow,2,4705094
2023-01-11,Harrier,Premium SUV,South,Hyderabad,2,4653904
2023-01-11,Punch EV,Electric Compact SUV,West,Mumbai,3,3227574
2023-01-11,Nexon,SUV,North,Jaipur,3,2948919
2023-01-11,Punch,Compact SUV,South,Kochi,1,669102
2023-01-11,Tiago,Hatchback,South,Hyderabad,2,1617456
2023-01-11,Altroz,Premium Hatchback,West,Mumbai,2,1578258
2023-01-12,Nexon,SUV,Central,Indore,4,5406560
2023-01-12,Punch,Compact SUV,Central,Indore,1,849690
2023-01-12,Tiago EV,Electric Hatchback,South,Hyderabad,5,4285875
2023-01-12,Tiago EV,Electric Hatchback,North,Jaipur,2,1645470
2023-01-12,Curvv EV,Electric Coupe SUV,South,Kochi,5,9290705
2023-01-12,Tiago EV,Electric Hatchback,South,Kochi,1,831890
2023-01-12,Tiago EV,Electric Hatchback,West,Pune,4,3426412
2023-01-12,Tiago EV,Electric Hatchback,Central,Indore,4,3354120
2023-01-12,Punch,Compact SUV,South,Hyderabad,5,3388845
2023-01-12,Punch,Compact SUV,South,Bangalore,3,2781966
2023-01-12,Curvv,Coupe SUV,North,Lucknow,5,8733730
2023-01-12,Altroz,Premium Hatchback,West,Pune,5,4640820
2023-01-12,Safari,7-Seater SUV,West,Ahmedabad,5,12260965
2023-01-13,Curvv EV,Electric Coupe SUV,North,Delhi,5,10389635
2023-01-13,Harrier,Premium SUV,West,Pune,4,9724920
2023-01-13,Harrier,Premium SUV,West,Pune,3,7102833
2023-01-13,Tiago EV,Electric Hatchback,West,Pune,4,3399408
2023-01-13,Altroz,Premium Hatchback,West,Pune,3,2996124
2023-01-13,Safari,7-Seater SUV,South,Hyderabad,2,5089222
2023-01-13,Punch,Compact SUV,North,Delhi,1,648879
2023-01-13,Tigor,Sedan,North,Delhi,3,2004651
2023-01-13,Nexon EV,Electric SUV,West,Mumbai,5,7472165
2023-01-13,Nexon EV,Electric SUV,South,Hyderabad,1,1415382
2023-01-13,Altroz,Premium Hatchback,South,Kochi,4,4112172
2023-01-13,Tiago,Hatchback,East,Kolkata,5,3319065
2023-01-13,Altroz,Premium Hatchback,North,Delhi,5,4580150
2023-01-13,Harrier,Premium SUV,South,Bangalore,4,6940548
2023-01-13,Punch,Compact SUV,South,Hyderabad,5,3963535
2023-01-13,Punch,Compact SUV,East,Kolkata,5,3592860
2023-01-14,Nexon EV,Electric SUV,North,Lucknow,5,7769410
2023-01-14,Curvv,Coupe SUV,North,Jaipur,1,1638577
2023-01-14,Curvv,Coupe SUV,Central,Indore,3,3091077
2023-01-14,Nexon,SUV,East,Kolkata,3,3468993
2023-01-14,Altroz,Premium Hatchback,West,Mumbai,2,1450210
2023-01-14,Punch EV,Electric Compact SUV,South,Kochi,4,4145928
2023-01-14,Nexon,SUV,Central,Indore,1,896214
2023-01-14,Curvv EV,Electric Coupe SUV,North,Jaipur,2,3794468
2023-01-14,Tigor,Sedan,West,Ahmedabad,3,2047581
2023-01-14,Altroz,Premium Hatchback,East,Kolkata,3,3171855
2023-01-14,Punch EV,Electric Compact SUV,North,Lucknow,1,1027582
2023-01-14,Nexon,SUV,South,Bangalore,5,4260895
2023-01-14,Curvv,Coupe SUV,North,Delhi,3,4393911
2023-01-14,Curvv,Coupe SUV,West,Pune,4,6546260
2023-01-14,Tiago EV,Electric Hatchback,West,Pune,3,2739060
2023-01-14,Nexon EV,Electric SUV,North,Delhi,3,4276194
2023-01-14,Punch,Compact SUV,East,Kolkata,5,4275675
2023-01-14,Nexon EV,Electric SUV,South,Kochi,3,3671433
2023-01-14,Harrier,Premium SUV,West,Pune,5,7787215
2023-01-14,Tiago,Hatchback,South,Chennai,3,1832241
2023-01-14,Nexon,SUV,East,Kolkata,3,3432183
2023-01-14,Punch,Compact SUV,West,Mumbai,4,3966600
